                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7653,                 3.1364,                 1.9703,                0.00381,                 0.7612,                0.08737,                0.02978,                 2.0909,                  3.476,                 2.6105,             0.00054104,             0.00054104,             0.00054104
                      2,                 1.8578,                 2.8484,                 2.0274,                0.12435,                0.23165,                 0.0799,                0.02389,                 2.4803,                 4.3536,                 3.1828,               0.001075,               0.001075,               0.001075
                      3,                 1.7955,                 2.6742,                 2.0145,                0.21271,                0.24557,                0.14601,                0.04461,                 2.6673,                 5.5493,                 3.0877,              0.0015869,              0.0015869,              0.0015869
                      4,                 1.8487,                 2.5989,                 2.0495,                 0.1787,                0.27299,                0.12998,                0.03736,                 2.4121,                 11.574,                 2.9084,               0.001568,               0.001568,               0.001568
                      5,                 1.8179,                 2.4985,                 1.9899,                0.13638,                0.23904,                0.10525,                0.02716,                 2.7174,                 13.046,                 3.2354,               0.001568,               0.001568,               0.001568
                      6,                  1.793,                 2.4349,                  1.986,                0.24495,                0.28138,                 0.1804,                0.06279,                 2.2486,                 3.3137,                 2.5556,               0.001535,               0.001535,               0.001535
                      7,                 1.8757,                 2.4815,                 1.9864,                0.24747,                0.30153,                0.19954,                 0.0586,                 2.4073,                  2.826,                 2.6436,               0.001502,               0.001502,               0.001502
                      8,                 1.8392,                 2.4242,                 2.0007,                0.34799,                0.28135,                0.23587,                0.08139,                 2.1584,                 2.9125,                 2.4487,               0.001469,               0.001469,               0.001469
                      9,                 1.7697,                 2.2964,                 1.9355,                0.29805,                0.26329,                0.19271,                 0.0654,                  2.489,                 2.8628,                 2.7825,               0.001436,               0.001436,               0.001436
                     10,                 1.7716,                 2.2639,                 1.9475,                0.40189,                0.40984,                0.34747,                0.11992,                 2.1279,                 2.6475,                 2.4705,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.7846,                 2.2889,                 1.9542,                0.49257,                 0.4274,                0.40712,                0.16414,                 1.9587,                 2.3198,                 2.2232,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.7161,                 2.1836,                 1.8929,                0.47622,                0.37205,                0.38486,                0.15954,                 1.9983,                 2.3215,                 2.2276,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.7029,                 2.2008,                 1.8653,                0.36544,                0.45833,                0.36025,                0.14352,                 2.0025,                 2.3717,                 2.2561,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.7346,                 2.1603,                 1.8824,                0.33907,                0.35536,                0.26286,                0.09536,                  2.033,                 2.6257,                 2.2938,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.6776,                 2.1216,                 1.8602,                0.47611,                0.48553,                0.44382,                0.17711,                 1.9514,                 2.1575,                 2.2176,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.6761,                 2.1319,                 1.8501,                0.48381,                0.49706,                0.44797,                 0.1808,                 1.9575,                 2.0575,                 2.1995,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.6632,                 2.0546,                 1.8412,                0.56778,                0.48394,                0.48249,                0.20592,                 1.8792,                 2.0286,                 2.1415,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.6785,                 2.0381,                 1.8494,                 0.4413,                0.33835,                 0.3113,                0.12561,                 2.0254,                 2.3299,                 2.2637,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.7053,                  2.086,                 1.8821,                0.53013,                 0.4664,                0.45342,                0.18777,                   1.88,                  2.074,                 2.1122,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.6448,                  2.003,                 1.8141,                0.55787,                0.50842,                0.51287,                0.22107,                 1.7924,                 1.9865,                 2.0818,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.6376,                 2.0259,                 1.8047,                0.52505,                0.49193,                0.49816,                 0.2273,                 1.8097,                 1.9181,                 2.0469,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.6185,                 1.9633,                 1.8213,                  0.496,                0.43175,                0.43323,                0.17954,                 1.9662,                  2.067,                 2.1971,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.6296,                 1.9746,                 1.8326,                0.51164,                0.46285,                0.45856,                0.19304,                 1.8769,                 2.0365,                 2.1262,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.6252,                 2.0019,                 1.8145,                 0.5242,                0.49026,                0.48197,                0.21167,                 1.7593,                 1.9505,                 2.0337,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.5935,                  1.905,                 1.7934,                0.62104,                0.53748,                0.56885,                0.25759,                 1.8049,                 1.7809,                  2.042,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.5935,                 1.8709,                 1.7985,                0.64421,                0.53117,                0.58923,                0.26658,                 1.7316,                 1.7874,                 1.9964,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.5609,                 1.8695,                 1.7637,                0.63503,                0.57028,                0.61001,                0.28514,                 1.7123,                 1.7312,                  1.959,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.5964,                 1.8457,                  1.772,                0.55236,                0.49904,                0.51961,                 0.2361,                 1.7906,                 1.8988,                 2.0076,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.5813,                 1.8391,                 1.7531,                0.61853,                0.54472,                 0.5864,                0.28656,                 1.6748,                  1.747,                 1.9528,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.5455,                 1.8507,                 1.7274,                0.63148,                0.56664,                0.61155,                0.30059,                  1.659,                 1.6898,                 1.9197,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.5787,                  1.794,                 1.7671,                0.67695,                0.59053,                0.63738,                0.30789,                 1.6917,                  1.671,                 1.9533,             0.00070981,             0.00070981,             0.00070981
                     32,                   1.55,                 1.7289,                 1.7512,                0.68223,                0.57925,                0.63829,                0.31533,                 1.6608,                 1.6583,                 1.9271,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.5425,                 1.7694,                 1.7226,                 0.6656,                0.59907,                0.66246,                0.32724,                 1.6131,                 1.6199,                 1.8616,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.5278,                  1.718,                 1.7101,                0.69964,                0.58633,                0.66437,                0.32697,                 1.6159,                 1.6348,                 1.9057,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.4986,                 1.6983,                 1.7021,                0.69038,                0.63355,                0.68507,                0.34811,                 1.6109,                 1.4876,                 1.8634,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.5068,                 1.6999,                 1.7055,                0.68316,                0.61184,                0.66744,                0.34075,                 1.6091,                 1.5633,                 1.8959,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.5086,                 1.6962,                 1.7135,                0.71961,                0.63313,                0.70808,                0.37344,                 1.5454,                 1.4921,                 1.8227,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.4559,                 1.6779,                 1.6889,                0.69745,                 0.6016,                0.68795,                0.36926,                 1.5398,                 1.5188,                  1.836,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.4811,                 1.6648,                 1.6631,                0.74579,                0.63953,                0.71248,                0.37365,                 1.5655,                 1.4612,                 1.8449,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.4547,                 1.5812,                 1.6491,                0.72092,                0.66474,                0.73366,                0.38969,                 1.5303,                 1.3961,                 1.7819,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.5391,                 1.6811,                 1.8028,                0.70451,                0.58962,                0.63885,                0.32008,                 1.6281,                 1.6246,                 1.9374,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4905,                 1.5893,                 1.7744,                 0.7753,                0.65496,                0.74465,                0.41352,                 1.4513,                 1.3614,                 1.7396,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4441,                 1.5291,                 1.7468,                0.72932,                0.68236,                0.74724,                0.43749,                 1.4122,                 1.3282,                 1.7274,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4389,                 1.4892,                 1.7404,                0.78032,                0.68453,                0.77533,                0.45394,                 1.3779,                 1.2789,                 1.6966,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.4212,                 1.4427,                 1.7331,                0.79752,                0.70189,                0.79411,                 0.4701,                 1.3736,                 1.2454,                  1.686,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3998,                  1.427,                  1.698,                0.79639,                0.71905,                0.80263,                0.47781,                 1.3643,                 1.2214,                 1.6787,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3836,                 1.4173,                 1.6734,                0.81151,                0.73145,                0.82106,                0.49908,                 1.3384,                 1.1674,                  1.644,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3839,                 1.3767,                 1.6738,                0.84587,                0.71884,                 0.8272,                0.50824,                 1.3049,                 1.1519,                 1.6153,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3483,                 1.3634,                 1.6652,                 0.8427,                0.72806,                0.82582,                0.51151,                 1.2915,                  1.154,                 1.6102,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3727,                 1.3271,                 1.6649,                0.82376,                0.74466,                0.83315,                0.52024,                 1.2806,                 1.1331,                 1.5994,             8.2683e-05,             8.2683e-05,             8.2683e-05
