                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4361,                 2.5752,                 1.7146,                0.28442,                0.18095,                0.14101,                0.04306,                 2.1815,                 3.5205,                 2.3919,             0.00047534,             0.00047534,             0.00047534
                      2,                 1.5327,                 2.1473,                 1.7971,                0.27207,                0.32063,                0.23108,                0.10399,                 2.1289,                 2.6189,                 2.3095,             0.00093283,             0.00093283,             0.00093283
                      3,                 1.5487,                  2.056,                 1.8084,                0.33961,                0.23175,                0.21537,                 0.0969,                 2.0463,                 2.9703,                 2.3518,              0.0013715,              0.0013715,              0.0013715
                      4,                 1.4976,                 1.9328,                 1.7755,                0.47638,                 0.4127,                0.41559,                0.16512,                 2.0721,                 2.4526,                 2.3032,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.4466,                 1.8253,                 1.7164,                0.45479,                0.38413,                 0.3691,                0.15817,                 2.0169,                 2.4344,                 2.1713,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.4007,                 1.7118,                 1.6867,                0.56212,                    0.4,                0.44352,                0.19408,                  1.911,                 2.3704,                 2.1579,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3787,                 1.6565,                 1.6575,                0.40977,                0.35873,                0.37265,                0.17651,                 1.9005,                 2.4308,                 2.0697,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3448,                 1.5988,                 1.6341,                0.56022,                 0.4125,                0.40175,                0.16372,                 1.9436,                 2.2495,                  2.093,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.3297,                 1.5353,                 1.6183,                0.57947,                0.48254,                0.55438,                0.24302,                 1.8384,                 1.8937,                 1.9672,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.3108,                 1.5122,                 1.5998,                0.61721,                0.50159,                0.57795,                0.27114,                 1.7215,                 1.8545,                  1.895,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2909,                 1.4669,                  1.586,                0.62981,                0.50476,                0.53721,                0.26242,                 1.7845,                 1.9264,                  1.995,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2612,                 1.4011,                 1.5621,                0.65358,                0.55702,                0.62964,                0.30487,                  1.764,                 1.7744,                 1.8876,              0.0011461,              0.0011461,              0.0011461
