                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7518,                 2.7065,                 1.7053,                0.63209,                0.28247,                0.29397,                0.15223,                 1.5869,                 2.3162,                 1.6681,             0.00047208,             0.00047208,             0.00047208
                      2,                 1.6519,                 2.1038,                    1.6,                0.83917,                0.37015,                0.43343,                0.26483,                 1.3756,                 1.7682,                 1.4625,             0.00092964,             0.00092964,             0.00092964
                      3,                 1.6608,                 1.9799,                 1.5947,                0.71445,                0.32379,                0.35463,                0.18242,                  1.391,                 2.0619,                 1.5174,              0.0013683,              0.0013683,              0.0013683
                      4,                  1.659,                 1.8339,                 1.5727,                0.70503,                0.35043,                 0.3421,                0.18917,                  1.535,                 1.5307,                 1.5236,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5956,                 1.6971,                 1.5359,                0.85108,                0.40077,                0.48201,                0.27889,                 1.4569,                 1.2716,                 1.5665,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5614,                 1.6141,                 1.5229,                0.80647,                0.45395,                0.51222,                0.34546,                 1.2735,                 1.2094,                 1.3921,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5416,                  1.563,                 1.4948,                0.79556,                0.43795,                0.47358,                0.31725,                 1.3095,                 1.1935,                 1.4188,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.5221,                  1.495,                 1.4775,                0.95803,                0.48447,                 0.5687,                0.39322,                 1.1538,                 1.0642,                 1.2899,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.4756,                 1.4534,                 1.4576,                0.93063,                0.44706,                0.53377,                0.33169,                 1.3461,                 1.1273,                  1.429,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.485,                 1.4267,                 1.4609,                0.87566,                0.49617,                0.59147,                0.36705,                 1.2717,                 1.0188,                 1.3808,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4655,                 1.3799,                  1.439,                0.91681,                0.47889,                0.61773,                0.43225,                 1.1927,                 1.4911,                 1.3344,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.4616,                 1.3588,                 1.4456,                 0.8486,                0.51667,                0.68741,                0.46075,                 1.1607,                  1.013,                 1.2947,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.4128,                 1.3349,                 1.4003,                0.93082,                0.47147,                0.60329,                 0.4209,                 1.1267,                0.92578,                 1.2782,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.4244,                 1.2974,                 1.4129,                0.86245,                0.52278,                  0.549,                0.36612,                 1.1836,                0.95647,                 1.3124,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.3784,                 1.2354,                 1.3912,                0.90563,                 0.5111,                0.63834,                0.44776,                 1.1553,                 1.1176,                 1.2996,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.3986,                 1.2312,                  1.382,                0.89531,                0.52846,                0.65076,                  0.445,                 1.0986,                0.85641,                 1.2629,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.3845,                 1.2285,                 1.3767,                0.57751,                0.62584,                0.65335,                0.45819,                 1.1122,                  1.119,                 1.2473,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.3677,                 1.2331,                 1.3701,                0.49271,                 0.5884,                0.59678,                 0.4127,                 1.1399,                 1.0302,                 1.2618,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.3393,                 1.1644,                 1.3513,                0.73429,                 0.6099,                0.66359,                0.46018,                 1.0742,                 1.1161,                 1.2361,               0.000948,               0.000948,               0.000948
                     20,                 1.3078,                 1.1254,                 1.3373,                0.88019,                0.57393,                0.60825,                0.43588,                 1.0473,                0.97179,                 1.2025,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.3109,                  1.124,                 1.3296,                0.71255,                0.69486,                0.70339,                0.51337,                 1.1084,                0.99458,                 1.2575,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.2832,                 1.0952,                   1.32,                0.70045,                0.69285,                0.72629,                0.52737,                 1.0943,                0.81742,                 1.2338,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.3048,                 1.1024,                 1.3314,                 0.6354,                0.58679,                0.63401,                0.46594,                 1.1092,                0.90004,                 1.2454,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2873,                 1.0899,                 1.3164,                0.86201,                0.62461,                0.71656,                0.51014,                 1.0813,                 1.0609,                 1.2319,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.2983,                 1.0585,                 1.3119,                0.92195,                0.56981,                0.66245,                 0.4849,                 1.0581,                0.80828,                 1.2136,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.2438,                 1.0425,                 1.2912,                 0.6217,                  0.664,                0.67598,                0.50301,                 1.0343,                0.86782,                 1.1912,             0.00074994,             0.00074994,             0.00074994
                     27,                  1.252,                 1.0287,                 1.2833,                0.71746,                  0.625,                0.67841,                0.49618,                 1.0228,                0.93117,                  1.174,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.2553,                 1.0197,                 1.2885,                0.85774,                0.60766,                0.68244,                0.49642,                 0.9955,                0.75706,                 1.1582,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.2219,                 1.0105,                 1.2742,                0.66773,                0.67383,                0.68231,                0.49675,                 1.0185,                0.83684,                 1.1778,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.2075,                0.97503,                 1.2638,                0.78588,                0.66556,                0.72735,                0.50712,                 1.0257,                0.80539,                 1.1723,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.1943,                0.95687,                 1.2515,                0.60817,                0.75091,                0.71039,                0.50258,                 1.0215,                0.73765,                 1.1699,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.2045,                0.96277,                  1.264,                0.79893,                0.65108,                 0.7193,                0.52169,                  1.035,                0.91754,                 1.1813,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.1708,                 0.9165,                 1.2416,                0.76115,                0.64261,                0.70817,                0.51009,                 1.0406,                0.88851,                 1.1908,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.1618,                0.91539,                 1.2347,                0.93744,                0.66158,                0.77587,                0.57065,                0.98986,                0.86447,                 1.1511,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.1686,                0.91029,                 1.2364,                0.94495,                0.63532,                0.73932,                0.53197,                 1.0119,                0.80247,                 1.1522,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1315,                0.87486,                 1.2151,                0.75558,                0.62093,                0.70894,                0.51836,                0.97422,                0.73691,                 1.1359,               0.000467,               0.000467,               0.000467
                     37,                 1.1447,                 0.8953,                  1.232,                0.83211,                0.67735,                0.72135,                 0.5254,                 1.0098,                0.78896,                 1.1632,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1241,                 0.8771,                 1.2183,                 0.9211,                0.66058,                0.70917,                0.50324,                0.99804,                0.78983,                 1.1591,             0.00041041,             0.00041041,             0.00041041
