                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4945,                 2.4899,                 1.6293,                0.37799,                0.37775,                0.32557,                0.13462,                 1.8897,                 2.9572,                 2.1306,             0.00055189,             0.00055189,             0.00055189
                      2,                 1.5525,                   2.21,                 1.6693,                0.31792,                 0.4479,                0.32241,                0.13147,                 1.9745,                 3.0287,                 2.1745,              0.0010856,              0.0010856,              0.0010856
                      3,                  1.665,                  2.186,                 1.7552,                 0.2625,                0.32957,                0.21992,                0.08968,                  1.978,                 2.7832,                  2.091,              0.0015974,              0.0015974,              0.0015974
                      4,                 1.6428,                 2.0934,                 1.7479,                0.37698,                0.43828,                0.35441,                0.14889,                 1.8889,                 2.6018,                 1.9754,               0.001568,               0.001568,               0.001568
                      5,                 1.5951,                 1.9548,                 1.7029,                0.42187,                0.42535,                0.32753,                0.13265,                 1.9903,                 2.5088,                 2.1147,               0.001568,               0.001568,               0.001568
                      6,                 1.5754,                 1.9372,                 1.6943,                 0.4177,                0.43875,                 0.3781,                0.16178,                 1.9623,                 2.4305,                 1.9957,               0.001535,               0.001535,               0.001535
                      7,                  1.542,                 1.8115,                 1.6705,                0.51731,                0.48295,                0.47735,                0.20683,                 1.7948,                 2.1651,                 1.8981,               0.001502,               0.001502,               0.001502
                      8,                 1.5068,                 1.8085,                 1.6409,                0.53739,                0.51923,                0.52728,                0.23941,                 1.8181,                 2.1435,                 1.9146,               0.001469,               0.001469,               0.001469
                      9,                 1.4884,                 1.7244,                 1.6192,                0.51764,                0.41361,                0.41693,                 0.1769,                 1.9413,                 2.3766,                  2.069,               0.001436,               0.001436,               0.001436
                     10,                 1.4766,                 1.6991,                 1.6119,                0.57977,                0.52877,                0.53832,                0.22724,                 1.9463,                 2.1628,                 1.9851,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4599,                 1.6825,                 1.6029,                0.62583,                0.57234,                0.61795,                 0.3052,                 1.7276,                  1.771,                 1.8981,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.4411,                 1.6276,                 1.5779,                0.53812,                0.59106,                0.58403,                0.28352,                 1.6918,                 1.9286,                 1.7968,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4306,                 1.6192,                 1.5804,                0.60993,                 0.5979,                0.61311,                0.30948,                 1.6553,                 1.7057,                 1.7102,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3903,                 1.5395,                 1.5353,                0.64851,                0.57417,                0.62538,                0.29414,                 1.7127,                 1.7126,                 1.7724,              0.0012709,              0.0012709,              0.0012709
                     15,                  1.368,                  1.525,                 1.5084,                0.66448,                 0.6143,                0.67478,                 0.3225,                 1.7405,                 1.5985,                 1.7847,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.3522,                 1.4609,                 1.5043,                0.67399,                0.64515,                0.68905,                0.35631,                 1.6702,                 1.5425,                 1.7337,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.3617,                 1.4805,                 1.5082,                0.71989,                0.64786,                0.70956,                0.36466,                 1.5866,                 1.5445,                 1.6685,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3372,                 1.4307,                 1.4893,                0.67779,                0.60304,                0.68213,                0.32011,                 1.6661,                 1.6109,                 1.7112,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3362,                 1.4202,                 1.4915,                0.69396,                0.64261,                0.70611,                0.33324,                 1.7159,                 1.5459,                 1.7728,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.308,                 1.3965,                 1.4805,                0.71038,                0.62958,                0.70808,                0.36978,                 1.6529,                  1.463,                 1.7257,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.3156,                 1.3961,                  1.481,                0.68685,                0.61634,                0.69745,                0.35228,                 1.6607,                 1.5103,                 1.6779,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.3067,                 1.4077,                  1.481,                0.70163,                0.65441,                 0.7238,                0.37083,                 1.5797,                 1.4337,                 1.6304,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.3035,                 1.3647,                 1.4653,                0.69934,                0.64378,                0.72339,                0.36807,                  1.596,                 1.4982,                 1.6607,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2638,                 1.2964,                 1.4392,                0.66445,                0.66629,                0.70752,                 0.3596,                 1.5791,                 1.6388,                 1.6496,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2783,                 1.3096,                 1.4465,                0.75295,                0.69195,                0.78164,                0.38827,                 1.6318,                 1.4065,                 1.6446,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2518,                 1.2921,                 1.4381,                0.72778,                0.67317,                0.76717,                 0.4052,                 1.5668,                 1.3082,                 1.6355,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2366,                 1.2712,                  1.421,                0.75017,                0.66498,                0.76065,                0.40466,                 1.5805,                 1.3376,                 1.6498,             0.00084184,             0.00084184,             0.00084184
