                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0528,                 1.8121,                  1.171,                0.56657,                0.45071,                0.48131,                0.31015,                 1.3101,                 1.9261,                 1.3483,             0.00066445,             0.00066445,             0.00066445
                      2,                 1.1935,                 1.5159,                 1.2409,                0.65327,                0.48965,                0.54782,                0.34629,                 1.3337,                 1.5661,                  1.354,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.2172,                 1.4669,                 1.2671,                0.55464,                0.43691,                 0.4566,                0.28079,                 1.4306,                 1.7791,                 1.4415,              0.0019187,              0.0019187,              0.0019187
                      4,                 1.1929,                 1.4114,                 1.2598,                0.67214,                0.47949,                0.54401,                0.34147,                  1.303,                  1.643,                 1.3103,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1554,                 1.3402,                 1.2326,                0.67425,                0.52116,                0.58828,                0.38043,                 1.2874,                 1.4475,                 1.2937,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0987,                 1.2618,                 1.1933,                0.63863,                0.53913,                0.57159,                0.38101,                 1.2593,                 1.3761,                 1.2875,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0721,                 1.2144,                 1.1895,                0.52506,                0.47168,                0.49235,                0.34386,                 1.2537,                 1.5772,                  1.332,               0.001802,               0.001802,               0.001802
                      8,                 1.0307,                 1.1717,                 1.1685,                0.74699,                 0.5571,                0.64446,                0.43613,                 1.1864,                 1.2662,                   1.24,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0221,                 1.1357,                 1.1535,                0.75447,                0.61193,                0.69222,                0.48041,                  1.113,                 1.1271,                  1.186,              0.0017228,              0.0017228,              0.0017228
                     10,                0.99642,                 1.0952,                 1.1377,                0.76327,                0.62365,                0.70495,                0.49352,                 1.0492,                 1.1165,                 1.1471,              0.0016832,              0.0016832,              0.0016832
                     11,                0.97914,                  1.049,                 1.1306,                0.78628,                0.65399,                0.73582,                0.52378,                 1.0126,                 1.0322,                 1.1321,              0.0016436,              0.0016436,              0.0016436
                     12,                0.95763,                 1.0277,                 1.1232,                0.74965,                0.63993,                0.71224,                0.51622,                 1.0258,                 1.0647,                 1.1382,               0.001604,               0.001604,               0.001604
                     13,                0.94003,                 1.0218,                 1.1111,                0.77467,                0.64696,                0.72803,                0.51126,                 1.0549,                 1.0416,                 1.1361,              0.0015644,              0.0015644,              0.0015644
                     14,                0.94342,                 1.0147,                 1.1086,                0.77492,                0.66571,                0.74555,                0.53223,                 0.9928,                  1.004,                 1.1154,              0.0015248,              0.0015248,              0.0015248
                     15,                0.92741,                0.98382,                 1.1011,                0.78212,                0.67808,                0.75613,                0.54133,                 1.0042,                 0.9607,                 1.1139,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92125,                0.97349,                 1.0989,                0.80025,                 0.6803,                0.76609,                0.55868,                0.96473,                0.91945,                 1.0988,              0.0014456,              0.0014456,              0.0014456
                     17,                0.90028,                0.96397,                 1.0882,                0.80068,                0.69176,                0.77627,                0.57023,                0.94878,                0.90996,                  1.091,               0.001406,               0.001406,               0.001406
                     18,                 0.8973,                0.94662,                 1.0902,                0.82054,                0.69058,                0.78419,                0.57246,                0.95179,                0.90333,                 1.0749,              0.0013664,              0.0013664,              0.0013664
                     19,                0.88391,                0.93085,                 1.0789,                0.83574,                0.70165,                0.79422,                0.58568,                0.93344,                0.87591,                 1.0795,              0.0013268,              0.0013268,              0.0013268
