                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1048,                 1.9825,                 1.4998,                0.51958,                0.44635,                0.40401,                0.21912,                 1.5402,                 2.5312,                 2.2829,             0.00066158,             0.00066158,             0.00066158
                      2,                 1.1798,                 1.6505,                 1.5744,                0.23441,                0.30472,                0.17541,                0.06852,                 2.1111,                  4.026,                 2.6655,              0.0012756,              0.0012756,              0.0012756
                      3,                 1.2565,                 1.5679,                 1.6257,                0.73707,                0.42918,                0.49094,                0.24413,                  1.866,                 2.1512,                  2.601,              0.0018369,              0.0018369,              0.0018369
                      4,                 1.2425,                 1.5478,                 1.6188,                0.74288,                0.44641,                0.53683,                0.29391,                 1.6683,                 2.0728,                 2.2197,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1764,                  1.455,                 1.5697,                 0.7461,                0.58512,                0.66503,                0.40956,                 1.4948,                 1.4762,                 2.1763,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.1302,                 1.3316,                 1.5159,                0.72499,                0.53505,                0.64228,                0.43819,                 1.2935,                 1.5503,                 1.8721,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1042,                 1.2824,                 1.5092,                0.78376,                0.58593,                0.70714,                0.48669,                 1.2544,                 1.2931,                 1.7588,               0.001604,               0.001604,               0.001604
                      8,                  1.057,                 1.2016,                  1.469,                0.74999,                0.63514,                0.71644,                0.49681,                 1.1629,                 1.2809,                 1.6821,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0247,                 1.1821,                  1.444,                0.81824,                0.61803,                0.72656,                0.49394,                 1.2438,                 1.1975,                 1.8111,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0258,                  1.168,                 1.4325,                0.84797,                0.62239,                0.75909,                0.54962,                  1.043,                 1.1277,                 1.5638,              0.0013664,              0.0013664,              0.0013664
                     11,                0.98594,                 1.1117,                 1.4095,                0.82329,                0.67984,                0.78281,                0.56508,                 1.0716,                 1.0384,                 1.6016,              0.0012872,              0.0012872,              0.0012872
                     12,                0.96478,                 1.0909,                 1.3951,                0.80671,                0.63519,                0.73831,                0.52201,                 1.1197,                 1.1679,                 1.6711,               0.001208,               0.001208,               0.001208
                     13,                  0.942,                 1.0533,                 1.3757,                0.84244,                 0.6681,                0.78843,                0.57993,                 1.0228,                 1.0839,                 1.5296,              0.0011288,              0.0011288,              0.0011288
                     14,                0.92767,                 1.0097,                 1.3712,                0.82903,                0.63805,                0.77784,                0.55728,                 1.0291,                 1.0228,                 1.5645,              0.0010496,              0.0010496,              0.0010496
                     15,                0.92906,                 1.0356,                 1.3718,                0.87105,                 0.6958,                0.81367,                0.59696,                 1.0038,                0.95568,                 1.5332,              0.0009704,              0.0009704,              0.0009704
                     16,                0.89792,                0.96562,                 1.4156,                0.83748,                0.68813,                 0.8023,                0.58604,                 1.0024,                0.99713,                 1.5266,              0.0008912,              0.0008912,              0.0008912
                     17,                 0.8643,                0.89786,                 1.3801,                0.88306,                0.69099,                0.79839,                0.59612,                 0.9782,                0.94789,                 1.5062,               0.000812,               0.000812,               0.000812
                     18,                0.82472,                0.84575,                 1.3512,                0.79431,                0.72923,                0.79996,                0.58022,                 1.0227,                0.96078,                 1.5709,              0.0007328,              0.0007328,              0.0007328
                     19,                0.81736,                0.80167,                 1.3437,                0.85988,                0.74106,                0.83601,                0.63453,                0.93213,                0.86262,                 1.4384,              0.0006536,              0.0006536,              0.0006536
                     20,                0.79739,                0.77589,                 1.3125,                0.88214,                0.72389,                0.83444,                0.63725,                0.92541,                0.85955,                 1.4285,              0.0005744,              0.0005744,              0.0005744
                     21,                0.76525,                0.74697,                 1.2761,                 0.8567,                0.75536,                0.84356,                 0.6593,                0.86721,                0.79623,                  1.387,              0.0004952,              0.0004952,              0.0004952
                     22,                0.73166,                0.71066,                 1.2694,                0.86928,                0.77059,                 0.8608,                0.66267,                0.88211,                0.78556,                 1.3819,               0.000416,               0.000416,               0.000416
                     23,                0.74213,                 0.6703,                 1.2645,                0.86789,                0.76252,                0.85773,                   0.67,                0.85493,                 0.7471,                 1.3531,              0.0003368,              0.0003368,              0.0003368
                     24,                0.72543,                0.65493,                 1.2436,                0.90239,                0.75387,                0.86456,                0.67868,                0.84115,                0.73181,                 1.3447,              0.0002576,              0.0002576,              0.0002576
                     25,                0.69416,                0.63006,                 1.2158,                0.87799,                0.77253,                0.86176,                0.67897,                0.83002,                0.75469,                   1.33,              0.0001784,              0.0001784,              0.0001784
